scenario_id,speed_mph,angle_deg,occupant_offset_m,belted,sensor_delay_s,pulse_duration_s,crash_active,hic_initial_design,chest_initial_design,energy_initial_design,false_deploy_initial_design,hic_deterministic_sqp,chest_deterministic_sqp,energy_deterministic_sqp,false_deploy_deterministic_sqp,hic_grid_search,chest_grid_search,energy_grid_search,false_deploy_grid_search,hic_mpc_inspired_policy,chest_mpc_inspired_policy,energy_mpc_inspired_policy,false_deploy_mpc_inspired_policy,hic_robust_de+slsqp,chest_robust_de+slsqp,energy_robust_de+slsqp,false_deploy_robust_de+slsqp,hic_shift_robust_dro,chest_shift_robust_dro,energy_shift_robust_dro,false_deploy_shift_robust_dro,hic_shift_refined_local_search,chest_shift_refined_local_search,energy_shift_refined_local_search,false_deploy_shift_refined_local_search
0,49.63203769818108,13.35251413554104,-0.06862763923055494,0,-6.182385162173832e-06,0.16,1,142.82983382120278,36.32661048965839,0.5209438399093602,0.0,142.67422185348906,36.330915283141564,0.5182994225595277,0.0,151.6164035199781,35.58348985245842,0.11875980658247602,0.0,133.67814269366664,37.01167574119056,0.6385395790077553,0.0,169.02152084277844,35.729594211455996,0.12550928187400098,0.0,169.35706962560576,35.71904379832338,0.17682137524068378,0.0,153.58435582220025,36.04838500605508,0.12461078717687615,0.0
1,54.253992785055445,-20.99728992406028,-0.003975568498768827,0,0.005975249369767009,0.15926429711465923,1,110.97594531376211,37.35760939901778,0.5277678234660064,0.0,110.97594599269289,37.357609396663015,0.5277677566888357,0.0,122.38884780255316,36.84138731998999,0.1199883689540635,0.0,103.25698741457029,37.84502122035989,0.6203889799482386,0.0,130.2940594394692,36.78668138024729,0.12684370475138512,0.0,122.17008203838351,36.83833649948334,0.17867754000481,0.0,113.46213858184102,36.95173735997084,0.12591711552415324,0.0
2,55.793980376047756,-7.888817100077415,0.019446204895570043,0,0.0030925737073652987,0.14400259282968786,1,183.35669964397695,40.202101189635826,0.5383988922605983,0.0,183.35670054820028,40.20210118644449,0.5383988241281958,0.0,211.23469328696413,39.35286255698576,0.12168771753722377,0.0,191.91545962384862,40.52359912220148,0.5694988632193125,0.0,215.35043704364085,39.391341389875066,0.12928006488263896,0.0,215.88275751441773,39.53978701353457,0.1820397419267404,0.0,188.02083551450087,39.5713964501321,0.1284670860338038,0.0
3,45.09752052478779,35.04968882266137,0.0035184476020672945,1,-0.012,0.0821394061102787,1,526.2929901652948,49.471535988114255,0.567258131742836,0.0,523.4383636259614,49.470913290394044,0.5646749538751009,0.0,568.3983994400544,48.56620274097756,0.1261572534238922,0.0,442.9584781432085,50.3326366343338,0.8332227798238604,0.0,428.6420487447867,48.719270857402776,0.13385331733186648,0.0,500.439947451188,48.6988857707028,0.18834754210467913,0.0,385.5522464443388,49.12093694217697,0.1333902709506517,0.0
4,41.057421725410855,-26.99452068321102,-0.023928203894677803,1,-0.003480538197166104,0.11909752396969064,1,167.50518729529762,37.666924482085754,0.5277704420242332,0.0,167.50518718330952,37.66692447402062,0.5277703752283962,0.0,179.38762767600176,36.902540547383445,0.11986392894544684,0.0,175.7405173886968,38.221507023202854,0.7924516929157048,0.0,164.42010050788923,37.11519478593154,0.12679644979335342,0.0,167.67281084379866,37.04787921400832,0.17920944842935638,0.0,158.53066238830525,37.4096616624001,0.1264771734926153,0.0
5,57.967549120691004,-24.50032874848046,0.004483796831948355,1,-0.012,0.07556907747362997,1,1354.6986611132272,61.46591697099568,0.5762862144442338,0.0,1345.6475802985494,61.47260801542296,0.573701224227347,0.0,1243.9729199490212,60.590057769047675,0.12744568851363222,0.0,1230.6804955950909,62.72854951367111,0.7081270791509388,0.0,1082.2154028231164,61.230142498185074,0.13561877732942706,0.0,1219.9554903764754,60.90692667085997,0.19043887526015357,0.0,1037.7731278665515,61.64748687093398,0.13523484515153983,0.0
6,54.73104239366325,-29.59728669087118,0.034111846895912665,1,0.008046636721458852,0.12903074523747612,1,276.28336738277824,45.62180649012651,0.5229403243279588,0.0,276.2833673212745,45.621806484942155,0.5229402581784646,0.0,252.2606142579721,44.60518263882745,0.11914389465279254,0.0,283.23798914129094,45.770881650430006,0.7075865458014723,0.0,245.7420536941265,44.096374973740886,0.12639814726998885,0.0,254.09242530083594,44.48553990971723,0.1780475909606283,0.0,255.14136361500232,44.335997457644936,0.12539808432271934,0.0
7,10.12449125879079,6.837088957499144,0.024392499502631955,1,0.0035230049857306565,0.14123255962149708,0,1.2604096040631882,7.469240091855865,0.0,0.0,1.2604096040631882,7.469240091855865,0.0,0.0,1.2604096040631882,7.469240091855865,0.0,0.0,1.2604096040631882,7.469240091855865,0.0,0.0,1.2604096040631882,7.469240091855865,0.0,0.0,1.2604096040631882,7.469240091855865,0.0,0.0,1.2604096040631882,7.469240091855865,0.0,0.0
8,11.441956070523368,-4.400989429496952,-0.06165228800768441,0,-0.005504702406842757,0.18505920053359537,0,1.7890701861037515,3.4212775027153213,0.0,0.0,1.7890701861037515,3.4212775027153213,0.0,0.0,1.7890701861037515,3.4212775027153213,0.0,0.0,1.7890701861037515,3.4212775027153213,0.0,0.0,1.7890701861037515,3.4212775027153213,0.0,0.0,1.7890701861037515,3.4212775027153213,0.0,0.0,1.7890701861037515,3.4212775027153213,0.0,0.0
9,59.52616952828268,-31.497249722333127,-0.00617695552360582,0,-0.007933473981280397,0.1115862627120239,1,364.3211276260807,54.78777376128447,0.5745901591640088,0.0,364.3211283774469,54.78777375364231,0.5745900864066059,0.0,396.9935484345472,53.83785391220588,0.12740673906282135,0.0,352.64883595461043,56.127410601682215,0.6244659141806141,0.0,374.28512430621083,53.58118240256951,0.13579563718260082,0.0,431.86906113779906,53.848327520772564,0.1909872014128752,0.0,423.0423010345107,54.269871649122656,0.13551762519157595,0.0
10,53.683185539545235,-15.597775111384843,-0.020986028393410423,1,0.007379735324531205,0.1312027018046643,1,292.81195603211376,44.601512858316596,0.5051225884648892,0.0,292.8119567412699,44.601512849996155,0.5051225245738249,0.0,315.19016729452113,43.66873996935888,0.11626707419309085,0.0,246.09672632837655,45.16374180242668,0.662649353630647,0.0,308.75580809917705,43.77670571195075,0.1227405941378065,0.0,295.41746808913524,43.78933708076808,0.17360767874374672,0.0,281.1067011383368,44.160663910463605,0.1221206377183988,0.0
11,8.413200203906733,2.7114854363190077,-0.07,1,0.01865003414647562,0.15827659673112462,0,0.7917329691499376,5.447788956955902,0.0,0.0,0.7917329691499376,5.447788956955902,0.0,0.0,0.7917329691499376,5.447788956955902,0.0,0.0,0.7917329691499376,5.447788956955902,0.0,0.0,0.7917329691499376,5.447788956955902,0.0,0.0,0.7917329691499376,5.447788956955902,0.0,0.0,0.7917329691499376,5.447788956955902,0.0,0.0
12,57.5698104724797,43.53016747751859,0.03545324090986189,0,0.002654948279102796,0.09339782991990067,1,783.2973288849437,60.739237375280744,0.5700008364086044,0.0,783.2973292605251,60.73923736518402,0.5700007642639927,0.0,750.0064974149527,59.090246184827194,0.127004181206834,0.0,704.035595384816,61.633250646676345,0.6454449497815954,0.0,599.6943801554595,60.18101694675521,0.13669127990997001,0.0,732.4644002468203,59.486804849461514,0.191064779028111,0.0,576.6294906988093,60.72888084375277,0.13585176328373008,0.0
13,56.76069136527274,18.25287026149758,0.02492273275216662,1,0.006574410043176925,0.10743710099978504,1,423.68928688715744,50.566461019212326,0.525885642878279,0.0,423.6892877020999,50.566461010437585,0.5258855763464646,0.0,415.9298396782672,49.32536379545884,0.1194926951683187,0.0,411.6832702570005,51.35187415081385,0.6605573871999418,0.0,317.0423875240826,49.268816904197834,0.12660557109415863,0.0,348.3875756194405,49.22834964261009,0.17857065920524157,0.0,332.2260623014339,49.58126667301522,0.12601451783813342,0.0
14,50.25958712396583,14.882896230036257,-0.026743264970790045,1,-0.0045576679506115075,0.10840904724996428,1,455.703352592978,45.94968110609685,0.5345682226047231,0.0,455.7033533262282,45.9496810967615,0.5345681549448131,0.0,462.0450697265161,44.97478248282455,0.12091501852440517,0.0,390.18366182113823,46.66643327185304,0.7046910880884941,0.0,460.53398403251686,45.1514678184117,0.12801789228883712,0.0,439.59523016808225,45.09459812536263,0.18088425638365366,0.0,433.32688725350954,45.563652901239266,0.12776180201048123,0.0
15,55.14214210526947,-31.40285556028207,0.032617488027476056,1,-0.0028898611642922097,0.07827714614977972,1,982.2705012993176,59.36144538637638,0.5594122568292004,0.0,982.2705016329097,59.36144537748974,0.5594121860087539,0.0,776.3576210908639,58.342171739378685,0.12491781622968018,0.0,760.7439744259087,60.33343321973228,0.7412525419861763,0.0,554.9822732717704,60.1673051705229,0.13406581874851003,0.0,660.0456617791857,58.95191072816281,0.18764240701711818,0.0,533.842476786182,60.264614842026106,0.13350825017110582,0.0
16,46.717800132891114,-11.213711599597087,0.021873946535033967,1,-0.005322813466718606,0.09898438209444214,1,242.00252056252125,41.87422928957299,0.5449487189425822,0.0,242.00252045000212,41.87422928127543,0.5449486499733315,0.0,217.38436783407238,41.00187448284382,0.12269388276000519,0.0,243.73486655755013,42.27693900408156,0.7186296160901839,0.0,208.35026353558698,40.8373352714165,0.12995051361101284,0.0,216.06469811153423,41.04975321681216,0.18359460346454431,0.0,212.83517190880002,41.20643433357512,0.12915157568756966,0.0
17,41.844941134117526,-10.440201773888841,-0.0056125628178346695,1,0.005422516939569619,0.08125965220813064,1,261.0193717591277,40.14131531946756,0.5076307403980689,0.0,261.0193715670504,40.14131531190762,0.5076306761748985,0.0,253.88644069844818,39.7190308979242,0.11646322692003565,0.0,272.77935763959664,40.619436858197595,0.7125985905014156,0.0,295.93261524413225,41.16928446356084,0.12339944943132963,0.0,268.39495331654416,40.062888787238194,0.17396889639962715,0.0,300.200241138491,41.297801648556025,0.12255627519220857,0.0
18,52.95798332971381,-16.65153324151878,0.024312383113004755,1,0.0006450504313664967,0.1269863425688424,1,240.7038964146243,43.32122069330049,0.5347680836287699,0.0,240.7038963336976,43.321220687439336,0.5347680159562156,0.0,222.35720283601702,42.563882708502625,0.12109350226172104,0.0,249.61652421007634,43.68893236637525,0.6869374237597358,0.0,221.79544062696098,42.58068655264489,0.1282029163683581,0.0,221.7324441096,42.63559219505078,0.18110293812465067,0.0,227.2857640264143,42.86095923951561,0.12734765196414968,0.0
19,54.03856926836285,-21.58735158687916,0.004495475059006543,1,0.008860880658389194,0.11132303553812256,1,390.25323707822525,48.97616467206927,0.5135190610499661,0.0,390.2532377703268,48.9761646633098,0.5135189960945492,0.0,414.05361422129357,47.95550967212541,0.11753915973828587,0.0,367.3133588191089,49.846417258042074,0.6864061338100952,0.0,319.0909063253979,47.96398310172036,0.1242268803236154,0.0,382.7080358010093,48.05367932675869,0.1756162910685623,0.0,302.8463144969581,48.34084151610892,0.12311389228489375,0.0
20,49.90231538662174,33.05263623083991,-0.013487189728734132,1,-0.010956517871800573,0.14597868882498485,1,190.0381085463626,41.33547456322136,0.5544343255403605,0.0,190.03810846694043,41.33547455815119,0.5544342553460129,0.0,203.9118793116857,40.7118126994416,0.12423701224392772,0.0,210.99167057192605,41.94311368299615,0.7843298935595703,0.0,209.52792018843178,40.74023182386134,0.13212598807793435,0.0,212.5131763341083,40.787017997410366,0.18596612713926067,0.0,190.37567207857205,41.00532900150531,0.13161272582883699,0.0
21,55.430028076301426,16.844357146182606,0.051733679021312595,1,-0.007397899554181424,0.08164230200314951,1,570.8468788471553,54.36808349301851,0.5711445878443322,0.0,570.846879720618,54.36808348362323,0.5711445155262379,0.0,500.1401717561481,53.15527075930412,0.126691525773547,0.0,578.3719215451725,55.09380141749572,0.6910699286929085,0.0,415.4930184455715,53.62334802134319,0.13502925931575638,0.0,450.0803408857856,53.22877327618933,0.189931991604454,0.0,440.5051947787991,53.888287291450794,0.13486015735250412,0.0
22,55.59100924810983,-17.50488622261771,-0.046760133153403494,1,-0.004336156771548561,0.07951241010311033,1,1300.4120621418683,57.058236079968786,0.5379027395521567,0.0,1300.412062160175,57.058236071212484,0.5379026714555435,0.0,1165.9043736844262,56.517006232395175,0.1212962132451799,0.0,1202.2752287690678,58.10670469719788,0.6851314703569479,0.0,1062.9846802958004,57.64200159211704,0.12867660463346675,0.0,1065.712837742786,56.90836355286719,0.18145066385360795,0.0,1135.6992375741195,58.13421109271606,0.12793417136047386,0.0
23,59.8035586132052,-26.060204389105355,0.08482505677445848,1,-0.010101701750723913,0.10792895927856858,1,437.50662797174317,51.5167605475818,0.5930663214427525,0.0,437.50662794799626,51.516760543248914,0.5930662463437563,0.0,410.60518970812393,50.50628680019985,0.13050160909834466,0.0,423.2055047304638,51.47982876691699,0.6882365215238404,0.0,390.48025299691653,49.661926289435165,0.13874927928088457,0.0,409.44609690647025,50.317399316446824,0.1957267778146306,0.0,393.71695321218357,49.84423765988341,0.138322580770909,0.0
24,51.24912966490501,39.48373749284502,0.022187454473945767,1,-0.012,0.13454225729926012,1,249.90032548561956,43.49923603176074,0.5738270328583052,0.0,249.42998247086982,43.49290581184399,0.5711748627094209,0.0,232.434417520801,43.140272375221485,0.12748137851861627,0.0,254.28579769827223,43.67346266609546,0.7895137178017735,0.0,230.40677855466663,43.06759014996188,0.13530622307208262,0.0,233.53684376344737,43.126504661186246,0.19033197339077698,0.0,234.80218449333177,43.18441076201503,0.13488338338318007,0.0
25,57.202504582844256,-28.171420480558645,-0.00328226849473715,1,-0.004506723766932418,0.10858169156807097,1,512.7933884711221,53.474321523012925,0.5507168576196855,0.0,512.7933894268446,53.47432151450283,0.5507167879082915,0.0,570.6331278900162,52.54768879654031,0.12356529702795424,0.0,440.55107757323196,54.63432095670785,0.7099642668744129,0.0,538.8762179966511,52.63134052883242,0.1310232494848878,0.0,524.4558149675489,52.56614863883942,0.1849790360692871,0.0,504.93723067980494,53.029079682091684,0.13090870817802217,0.0
26,36.425519632438814,41.28527086703258,0.028817909665174467,1,0.004574764930952988,0.09332416101487873,1,144.00441349648523,36.17164029596975,0.5179414032446205,0.0,144.0044133299712,36.17164028621453,0.5179413377271437,0.0,112.18875779224865,35.33318433215784,0.11830377648575532,0.0,144.44674043262032,36.94024139588205,0.8329677024384193,0.0,87.45531848682567,36.47120127348371,0.12485655954882259,0.0,103.56961793103662,35.73223437525239,0.1765700247947823,0.0,95.00151825611542,36.751010890937565,0.12413996448603516,0.0
